Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2",0603,5,0.1u,C14663
"C13, C14, C8, C9",0603,4,4.7u,C19666
C3,0603,1,10n,C57112
"C4, C5",0603,2,6p,C37474
"C6, C7",0603,2,22p,C1653
"D1, D2, D3",0603,3,LED,C72043
"R1, R4",0603,2,22,C23345
"R2, R3, R5",0603,3,330,C23138
R6,0603,1,1.5k,C22843
SW1,SW_SPST_TL3342,1,SW_Push,C318884
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16M,C13738
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768k,C32346
