Designator,Mid X,Mid Y,Rotation,Layer
C1,85.344,-46.736,270.0,top
C10,82.4992,-92.5576,0.0,top
C11,103.632,-92.583,0.0,top
C12,81.8388,-64.516,270.0,top
C13,79.4512,-92.5576,180.0,top
C14,100.584,-92.583,180.0,top
C2,97.6376,-58.1028,180.0,top
C3,97.6388,-56.5404,180.0,top
C4,85.5212,-63.546,270.0,top
C5,87.5532,-61.006,0.0,top
C6,93.9812,-61.072,0.0,top
C7,91.4412,-64.12,270.0,top
C8,75.184,-46.736,90.0,top
C9,84.836,-51.549,90.0,top
D1,110.5408,-52.8828,180.0,top
D2,110.49,-56.0832,180.0,top
D3,64.9224,-58.5216,180.0,top
J1,69.088,-51.308,270.0,top
J2,116.205,-55.94,0.0,top
J3,69.76,-70.231,270.0,top
J4,98.092,-47.202,0.0,top
J6,69.686,-62.04,270.0,top
JP1,108.712,-46.99,0.0,top
R1,76.7588,-56.9468,0.0,top
R2,112.8776,-53.6956,270.0,top
R3,112.8776,-56.7944,90.0,top
R4,77.9404,-55.2958,0.0,top
R5,68.1736,-58.5216,0.0,top
R6,110.6424,-60.0456,90.0,top
SW1,90.932,-47.752,0.0,top
U1,103.313,-62.116,0.0,top
U2,80.264,-49.276,270.0,top
U3,78.2828,-63.6016,270.0,top
U4,84.1502,-82.3214,90.0,top
U5,105.156,-82.423,90.0,top
Y1,93.9812,-64.12,90.0,top
Y2,87.7192,-63.97,270.0,top
